species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,bill_ratio,body_mass_index,size_category
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,2.0909090909090913,114.46537040993866,Small
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE,2.270114942528736,109.83928777893397,Small
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,2.238888888888889,85.47008547008546,Small
Adelie,Torgersen,38.8,18.4,190.0,3700.0,FEMALE,2.108695652173913,102.49307479224377,Small
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,1.9015544041450778,92.61993610566726,Small
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,1.907766990291262,101.10803324099723,Small
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,2.185393258426966,110.6498580629407,Small
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,2.0,122.94543063773831,Medium
Adelie,Torgersen,34.1,18.1,193.0,3475.0,FEMALE,1.8839779005524862,93.2910950629547,Small
Adelie,Torgersen,42.0,20.2,190.0,4250.0,FEMALE,2.0792079207920793,117.72853185595568,Medium
Adelie,Torgersen,37.8,17.1,186.0,3300.0,FEMALE,2.2105263157894735,95.38674991328476,Small
Adelie,Torgersen,37.8,17.3,180.0,3700.0,FEMALE,2.184971098265896,114.19753086419755,Small
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE,2.3352272727272725,96.60669001328343,Small
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE,1.8207547169811322,104.16381129903237,Small
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,1.6398104265402844,112.2334455667789,Medium
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,2.056179775280899,108.10810810810811,Small
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,2.0368421052631582,90.72978303747534,Small
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,2.0531400966183577,115.95248524826715,Medium
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE,1.8695652173913044,98.2100661625709,Small
Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE,2.13953488372093,111.59528111382718,Medium
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,2.065573770491803,112.30017175320387,Small
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE,2.016042780748663,111.11111111111111,Small
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE,1.8697916666666667,106.38000055989473,Small
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,2.110497237569061,115.41271000730461,Medium
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,2.255813953488372,117.28395061728395,Small
Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE,1.8677248677248677,108.6676770854185,Small
Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE,2.182795698924731,106.00495685150348,Small
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,2.2625698324022347,91.50962280877349,Small
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,2.0376344086021505,106.4764737696052,Small
Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE,2.1428571428571432,121.9135802469136,Medium
Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE,2.3652694610778444,102.57543239489965,Small
Adelie,Dream,37.2,18.1,178.0,3900.0,MALE,2.0552486187845305,123.09051887387957,Small
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE,2.2191011235955056,93.36803983703032,Small
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,2.164021164021164,115.1937618147448,Small
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,2.1411764705882352,87.44247205785668,Small
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,1.8578199052132702,108.02790503956685,Medium
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE,1.94,109.41828254847645,Medium
Adelie,Dream,42.2,18.5,180.0,3550.0,FEMALE,2.2810810810810813,109.5679012345679,Small
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE,1.9481865284974094,100.729525960746,Small
Adelie,Dream,39.8,19.1,184.0,4650.0,MALE,2.083769633507853,137.34640831758037,Medium
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,2.0277777777777777,95.09721048182587,Small
Adelie,Dream,40.8,18.4,195.0,3900.0,MALE,2.217391304347826,102.56410256410255,Small
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,1.945945945945946,89.60573476702508,Small
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,2.238578680203046,114.5356101624323,Medium
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,2.1893491124260356,87.65522279035793,Small
Adelie,Dream,39.6,18.8,190.0,4600.0,MALE,2.106382978723404,127.42382271468144,Medium
Adelie,Dream,41.1,19.0,182.0,3425.0,MALE,2.1631578947368424,103.3993479048424,Small
Adelie,Dream,37.5,18.9,179.0,2975.0,FEMALE,1.9841269841269842,92.84978621141663,Small
Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE,2.011173184357542,95.56786703601108,Small
Adelie,Dream,42.3,21.2,191.0,4150.0,MALE,1.9952830188679245,113.75784655025905,Medium
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,2.2372881355932206,101.16776505954445,Small
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE,2.121693121693122,121.66138524219103,Medium
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE,1.9553072625698324,95.56786703601108,Small
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE,2.1538461538461537,101.24999999999997,Medium
